DayOfWeek,DepTime,TaxiOut,DepTime_Min
6,1800.0,19.0,1080.0
6,741.0,28.0,461.0
6,1622.0,48.0,982.0
6,1102.0,28.0,662.0
6,1259.0,22.0,779.0
6,1830.0,20.0,1110.0
6,2105.0,19.0,1265.0
6,1249.0,21.0,769.0
6,1626.0,19.0,986.0
6,1131.0,38.0,691.0
6,1559.0,13.0,959.0
6,1038.0,28.0,638.0
6,2026.0,32.0,1226.0
6,1352.0,11.0,832.0
6,1611.0,29.0,971.0
6,1303.0,17.0,783.0
6,2007.0,22.0,1207.0
6,1828.0,41.0,1108.0
6,1133.0,30.0,693.0
6,1755.0,11.0,1075.0
6,1805.0,27.0,1085.0
6,1404.0,25.0,844.0
6,1058.0,19.0,658.0
6,904.0,18.0,544.0
6,1254.0,35.0,774.0
6,1625.0,40.0,985.0
6,1435.0,23.0,875.0
6,715.0,21.0,435.0
6,856.0,107.0,536.0
6,1953.0,41.0,1193.0
6,901.0,38.0,541.0
6,1417.0,40.0,857.0
6,1239.0,21.0,759.0
6,722.0,53.0,442.0
6,1110.0,59.0,670.0
6,1758.0,19.0,1078.0
6,2037.0,16.0,1237.0
6,858.0,62.0,538.0
6,2001.0,27.0,1201.0
6,1006.0,11.0,606.0
6,1619.0,40.0,979.0
6,1143.0,33.0,703.0
6,1306.0,13.0,786.0
6,1826.0,40.0,1106.0
6,924.0,16.0,564.0
6,1117.0,31.0,677.0
6,1819.0,23.0,1099.0
6,1829.0,25.0,1109.0
6,936.0,53.0,576.0
6,1602.0,22.0,962.0
6,1045.0,16.0,645.0
6,1406.0,13.0,846.0
6,1834.0,33.0,1114.0
6,902.0,68.0,542.0
6,1609.0,17.0,969.0
6,1715.0,15.0,1035.0
6,848.0,38.0,528.0
6,1602.0,27.0,962.0
6,758.0,16.0,478.0
6,1055.0,21.0,655.0
6,1733.0,15.0,1053.0
6,1057.0,15.0,657.0
6,1056.0,19.0,656.0
6,1925.0,14.0,1165.0
6,1619.0,30.0,979.0
6,859.0,44.0,539.0
6,907.0,22.0,547.0
6,1812.0,17.0,1092.0
6,1806.0,25.0,1086.0
6,1750.0,18.0,1070.0
6,943.0,71.0,583.0
6,2020.0,23.0,1220.0
6,1608.0,32.0,968.0
6,1633.0,14.0,993.0
6,1036.0,56.0,636.0
6,1332.0,22.0,812.0
6,1810.0,26.0,1090.0
6,1058.0,22.0,658.0
6,2048.0,18.0,1248.0
6,1054.0,29.0,654.0
6,1334.0,23.0,814.0
6,1956.0,21.0,1196.0
6,655.0,33.0,415.0
6,1309.0,22.0,789.0
6,643.0,17.0,403.0
6,1053.0,14.0,653.0
6,1031.0,102.0,631.0
6,844.0,13.0,524.0
6,1901.0,29.0,1141.0
6,1809.0,31.0,1089.0
6,940.0,18.0,580.0
6,704.0,18.0,424.0
6,1811.0,22.0,1091.0
6,1110.0,23.0,670.0
6,2008.0,35.0,1208.0
6,1359.0,35.0,839.0
6,2030.0,31.0,1230.0
6,1815.0,16.0,1095.0
6,1137.0,28.0,697.0
6,1116.0,31.0,676.0
6,1429.0,25.0,869.0
6,909.0,33.0,549.0
6,2006.0,32.0,1206.0
6,655.0,13.0,415.0
6,1437.0,19.0,877.0
6,1100.0,17.0,660.0
6,724.0,23.0,444.0
6,1806.0,20.0,1086.0
6,854.0,82.0,534.0
6,1821.0,43.0,1101.0
6,1955.0,26.0,1195.0
6,1802.0,15.0,1082.0
6,703.0,17.0,423.0
6,733.0,18.0,453.0
6,958.0,97.0,598.0
6,1809.0,24.0,1089.0
6,1837.0,16.0,1117.0
6,1121.0,34.0,681.0
6,1440.0,35.0,880.0
6,1812.0,32.0,1092.0
6,1259.0,17.0,779.0
6,853.0,45.0,533.0
6,1443.0,22.0,883.0
6,1651.0,23.0,1011.0
6,1620.0,23.0,980.0
6,1112.0,33.0,672.0
6,1412.0,21.0,852.0
6,907.0,60.0,547.0
6,1959.0,31.0,1199.0
6,737.0,30.0,457.0
6,1945.0,19.0,1185.0
6,1612.0,12.0,972.0
6,1126.0,26.0,686.0
6,1412.0,13.0,852.0
6,1258.0,25.0,778.0
6,1230.0,18.0,750.0
6,1821.0,24.0,1101.0
6,850.0,22.0,530.0
6,1432.0,22.0,872.0
6,1257.0,16.0,777.0
6,1407.0,15.0,847.0
6,2011.0,25.0,1211.0
6,1105.0,41.0,665.0
6,1412.0,27.0,852.0
6,956.0,15.0,596.0
6,914.0,21.0,554.0
6,912.0,54.0,552.0
6,1825.0,23.0,1105.0
6,1535.0,24.0,935.0
6,702.0,30.0,422.0
6,1307.0,30.0,787.0
6,2003.0,24.0,1203.0
6,1044.0,72.0,644.0
6,1110.0,21.0,670.0
6,1514.0,16.0,914.0
6,2259.0,21.0,1379.0
6,906.0,15.0,546.0
6,1835.0,20.0,1115.0
6,2013.0,20.0,1213.0
6,1242.0,30.0,762.0
6,1957.0,59.0,1197.0
6,556.0,15.0,356.0
6,1449.0,14.0,889.0
6,1459.0,15.0,899.0
6,1614.0,43.0,974.0
6,730.0,13.0,450.0
6,1119.0,58.0,679.0
6,705.0,18.0,425.0
6,1234.0,16.0,754.0
6,1057.0,21.0,657.0
6,530.0,20.0,330.0
6,1828.0,26.0,1108.0
6,2054.0,15.0,1254.0
6,1619.0,19.0,979.0
6,1242.0,21.0,762.0
6,911.0,56.0,551.0
6,1251.0,23.0,771.0
6,902.0,17.0,542.0
6,1255.0,22.0,775.0
6,1122.0,29.0,682.0
6,2008.0,24.0,1208.0
6,1029.0,14.0,629.0
6,2011.0,30.0,1211.0
6,1039.0,26.0,639.0
6,1459.0,12.0,899.0
6,1536.0,35.0,936.0
6,1441.0,31.0,881.0
6,1116.0,41.0,676.0
6,704.0,21.0,424.0
6,958.0,28.0,598.0
6,1946.0,22.0,1186.0
6,1818.0,22.0,1098.0
6,1307.0,23.0,787.0
6,1806.0,32.0,1086.0
6,859.0,28.0,539.0
6,958.0,16.0,598.0
6,1154.0,26.0,714.0
6,2118.0,23.0,1278.0
6,924.0,21.0,564.0
6,1115.0,34.0,675.0
5,2259.0,27.0,1379.0
5,722.0,25.0,442.0
5,1715.0,45.0,1035.0
5,1105.0,52.0,665.0
5,1325.0,44.0,805.0
5,2015.0,18.0,1215.0
5,1251.0,114.0,771.0
5,2145.0,22.0,1305.0
5,1057.0,112.0,657.0
5,2150.0,62.0,1310.0
5,1106.0,47.0,666.0
5,2017.0,25.0,1217.0
5,2110.0,41.0,1270.0
5,1413.0,86.0,853.0
5,2215.0,32.0,1335.0
5,1657.0,53.0,1017.0
5,2312.0,38.0,1392.0
5,2046.0,25.0,1246.0
5,1929.0,70.0,1169.0
5,1052.0,39.0,652.0
5,2158.0,26.0,1318.0
5,2313.0,22.0,1393.0
5,2252.0,26.0,1372.0
5,1447.0,119.0,887.0
5,2354.0,25.0,1434.0
5,1426.0,45.0,866.0
5,1051.0,34.0,651.0
5,1750.0,23.0,1070.0
5,908.0,51.0,548.0
5,1254.0,120.0,774.0
5,819.0,21.0,499.0
5,1646.0,42.0,1006.0
5,2128.0,17.0,1288.0
5,1612.0,61.0,972.0
5,713.0,23.0,433.0
5,858.0,71.0,538.0
5,902.0,36.0,542.0
5,2201.0,46.0,1321.0
5,1700.0,27.0,1020.0
5,1907.0,27.0,1147.0
5,739.0,19.0,459.0
5,1314.0,129.0,794.0
5,1112.0,63.0,672.0
5,2049.0,32.0,1249.0
5,2100.0,26.0,1260.0
5,707.0,17.0,427.0
5,900.0,41.0,540.0
5,919.0,38.0,559.0
5,2301.0,46.0,1381.0
5,1103.0,59.0,663.0
5,1451.0,129.0,891.0
5,1948.0,36.0,1188.0
5,913.0,82.0,553.0
5,1134.0,65.0,694.0
5,2151.0,31.0,1311.0
5,922.0,74.0,562.0
5,1953.0,15.0,1193.0
5,2101.0,30.0,1261.0
5,2136.0,30.0,1296.0
5,1137.0,55.0,697.0
5,1620.0,58.0,980.0
5,38.0,22.0,38.0
5,858.0,64.0,538.0
5,1430.0,110.0,870.0
5,1107.0,88.0,667.0
5,1637.0,43.0,997.0
5,706.0,21.0,426.0
5,847.0,19.0,527.0
5,1916.0,27.0,1156.0
5,758.0,22.0,478.0
5,1102.0,96.0,662.0
5,725.0,51.0,445.0
5,2325.0,40.0,1405.0
5,1838.0,33.0,1118.0
5,953.0,55.0,593.0
5,1120.0,54.0,680.0
5,1856.0,20.0,1136.0
5,853.0,78.0,533.0
5,938.0,31.0,578.0
5,2314.0,39.0,1394.0
5,1911.0,28.0,1151.0
5,900.0,61.0,540.0
5,2151.0,20.0,1311.0
